AGS,Stadtname,AfD_%_2019
12054,"Potsdam, Stadt",13.6
11000,Berlin,14.2
12069,Potsdam-Mittelmark,17.8
12051,"Brandenburg an der Havel, Stadt",21.5
12063,Havelland,22.0
12065,Oberhavel,22.1
12070,Prignitz,22.6
12060,Barnim,22.6
12072,Teltow-Fläming,23.0
12068,Ostprignitz-Ruppin,23.1
12061,Dahme-Spreewald,24.4
12064,Märkisch-Oderland,24.5
12053,"Frankfurt (Oder), Stadt",24.5
12073,Uckermark,26.0
12067,Oder-Spree,26.5
12052,"Cottbus, Stadt",26.8
12062,Elbe-Elster,29.0
12066,Oberspreewald-Lausitz,31.0
12071,Spree-Neiße,33.9
