AGS,Gebietseinheit,Einkommen
11000,Berlin,20330.0
12051,"Brandenburg an der Havel, Kreisfreie Stadt",18224.0
12052,"Cottbus, Kreisfreie Stadt",20236.0
12053,"Frankfurt (Oder), Kreisfreie Stadt",18021.0
12054,"Potsdam, Kreisfreie Stadt",20226.0
12060,"Barnim, Landkreis",20474.0
12061,"Dahme-Spreewald, Landkreis",20889.0
12062,"Elbe-Elster, Landkreis",18921.0
12063,"Havelland, Landkreis",20292.0
12064,"Märkisch-Oderland, Landkreis",20360.0
12065,"Oberhavel, Landkreis",21296.0
12066,"Oberspreewald-Lausitz, Landkreis",19507.0
12067,"Oder-Spree, Landkreis",20266.0
12068,"Ostprignitz-Ruppin, Landkreis",18888.0
12069,"Potsdam-Mittelmark, Landkreis",22715.0
12070,"Prignitz, Landkreis",19258.0
12071,"Spree-Neiße, Landkreis",20157.0
12072,"Teltow-Fläming, Landkreis",20012.0
12073,"Uckermark, Landkreis",18436.0
