AGS,Stadtname,Schutzsuchende_alle_Status_max,Stichtag_max,Schutzsuchende_alle_Status_min,Stichtag_min,diff
11000,"Berlin, kreisfreie Stadt",28665.0,31.12.2019,16125.0,31.12.2016,12540.0
12052,"Cottbus, kreisfreie Stadt",2180.0,31.12.2019,1890.0,31.12.2016,290.0
12054,"Potsdam, kreisfreie Stadt",1910.0,31.12.2019,1210.0,31.12.2016,700.0
12067,"Oder-Spree, Landkreis",1120.0,31.12.2019,1070.0,31.12.2016,50.0
12065,"Oberhavel, Landkreis",770.0,31.12.2019,835.0,31.12.2016,-65.0
12072,"Teltow-Fläming, Landkreis",715.0,31.12.2019,840.0,31.12.2016,-125.0
12063,"Havelland, Landkreis",715.0,31.12.2019,650.0,31.12.2016,65.0
12051,"Brandenburg an der Havel, kreisfreie Stadt",655.0,31.12.2019,455.0,31.12.2016,200.0
12060,"Barnim, Landkreis",645.0,31.12.2019,755.0,31.12.2016,-110.0
12053,"Frankfurt (Oder), kreisfreie Stadt",635.0,31.12.2019,430.0,31.12.2016,205.0
12070,"Prignitz, Landkreis",510.0,31.12.2019,645.0,31.12.2016,-135.0
12064,"Märkisch-Oderland, Landkreis",500.0,31.12.2019,535.0,31.12.2016,-35.0
12069,"Potsdam-Mittelmark, Landkreis",470.0,31.12.2019,540.0,31.12.2016,-70.0
12066,"Oberspreewald-Lausitz, Landkreis",390.0,31.12.2019,595.0,31.12.2016,-205.0
12073,"Uckermark, Landkreis",380.0,31.12.2019,500.0,31.12.2016,-120.0
12061,"Dahme-Spreewald, Landkreis",345.0,31.12.2019,525.0,31.12.2016,-180.0
12062,"Elbe-Elster, Landkreis",340.0,31.12.2019,490.0,31.12.2016,-150.0
12068,"Ostprignitz-Ruppin, Landkreis",275.0,31.12.2019,420.0,31.12.2016,-145.0
12071,"Spree-Neiße, Landkreis",0.0,31.12.2019,0.0,31.12.2016,0.0
