,AGS,Stadt,Jahres-durch-schnitt
0,11000,"Berlin, Stadt",7.8
1,12051,"Brandenburg an der Havel, St.",8.1
2,12052,"Cottbus, Stadt",7.6
3,12053,"Frankfurt (Oder), Stadt",7.9
4,12054,"Potsdam, Stadt",5.4
5,12060,Barnim,5.1
6,12061,Dahme-Spreewald,3.7
7,12062,Elbe-Elster,6.0
8,12063,Havelland,5.2
9,12064,Märkisch-Oderland,5.4
10,12065,Oberhavel,4.9
11,12066,Oberspreewald-Lausitz,7.5
12,12067,Oder-Spree,6.1
13,12068,Ostprignitz-Ruppin,6.2
14,12069,Potsdam-Mittelmark,4.0
15,12070,Prignitz,7.3
16,12071,Spree-Neiße,6.3
17,12072,Teltow-Fläming,4.3
18,12073,Uckermark,10.8
