Region,AGS,date,Deutsche,Ausländer,Auslaender_Anteil
1100000 Berlin,11000000,2018-12-31,2969616.0,675210.0,0.18525164164215246
Brandenburg,120Brand,2018-12-31,2393890.0,118027.0,0.046986823211117246
"51000 Brandenburg an der Havel, Stadt",12051000,2018-12-31,68329.0,3795.0,0.05261771393710831
"52000 Cottbus, Stadt",12052000,2018-12-31,91740.0,8479.0,0.08460471567267684
"53000 Frankfurt (Oder), Stadt",12053000,2018-12-31,51850.0,6023.0,0.10407271093601507
"54000 Potsdam, Stadt",12054000,2018-12-31,163153.0,14936.0,0.08386817827041536
60005 Ahrensfelde,12060005,2018-12-31,13259.0,284.0,0.0209702429299269
60012 Althüttendorf,12060012,2018-12-31,579.0,,
"60020 Bernau bei Berlin, Stadt",12060020,2018-12-31,36656.0,2169.0,0.05586606567933033
"60024 Biesenthal, Stadt",12060024,2018-12-31,5626.0,165.0,0.02849248834398204
60034 Breydin,12060034,2018-12-31,757.0,3.0,0.003947368421052632
60036 Britz,12060036,2018-12-31,2065.0,19.0,0.009117082533589251
60045 Chorin,12060045,2018-12-31,2221.0,118.0,0.05044890979050876
"60052 Eberswalde, Stadt",12060052,2018-12-31,37770.0,2617.0,0.06479807858964519
60068 Friedrichswalde,12060068,2018-12-31,789.0,6.0,0.007547169811320755
60092 Hohenfinow,12060092,2018-12-31,512.0,3.0,0.005825242718446602
"60100 Joachimsthal, Stadt",12060100,2018-12-31,3267.0,152.0,0.044457443696987425
60128 Liepe,12060128,2018-12-31,642.0,13.0,0.01984732824427481
60149 Lunow-Stolzenhagen,12060149,2018-12-31,1192.0,24.0,0.019736842105263157
60154 Marienwerder,12060154,2018-12-31,1691.0,34.0,0.01971014492753623
60161 Melchow,12060161,2018-12-31,966.0,9.0,0.009230769230769232
60172 Niederfinow,12060172,2018-12-31,591.0,4.0,0.0067226890756302525
"60176 Oderberg, Stadt",12060176,2018-12-31,2035.0,131.0,0.060480147737765465
60181 Panketal,12060181,2018-12-31,20079.0,440.0,0.021443540133534774
60185 Parsteinsee,12060185,2018-12-31,495.0,43.0,0.07992565055762081
60192 Rüdnitz,12060192,2018-12-31,1943.0,29.0,0.014705882352941176
60198 Schorfheide,12060198,2018-12-31,9813.0,186.0,0.0186018601860186
60250 Sydower Fließ,12060250,2018-12-31,954.0,28.0,0.028513238289205704
60269 Wandlitz,12060269,2018-12-31,22048.0,889.0,0.038758338056415396
"60280 Werneuchen, Stadt",12060280,2018-12-31,8791.0,203.0,0.022570602623971536
60296 Ziethen,12060296,2018-12-31,431.0,19.0,0.042222222222222223
61005 Alt Zauche-Wußwerk,12061005,2018-12-31,481.0,4.0,0.008247422680412371
61017 Bersteland,12061017,2018-12-31,885.0,9.0,0.010067114093959731
61020 Bestensee,12061020,2018-12-31,7470.0,380.0,0.048407643312101914
61061 Byhleguhre-Byhlen,12061061,2018-12-31,729.0,3.0,0.004098360655737705
61097 Drahnsdorf,12061097,2018-12-31,553.0,65.0,0.10517799352750809
61112 Eichwalde,12061112,2018-12-31,6233.0,235.0,0.03633271490414348
"61164 Golßen, Stadt",12061164,2018-12-31,2364.0,178.0,0.07002360346184107
61192 Groß Köris,12061192,2018-12-31,2299.0,39.0,0.016680923866552608
61216 Halbe,12061216,2018-12-31,2147.0,238.0,0.09979035639412998
61217 Heidesee,12061217,2018-12-31,6944.0,196.0,0.027450980392156862
61219 Heideblick,12061219,2018-12-31,3478.0,94.0,0.02631578947368421
61224 Jamlitz,12061224,2018-12-31,521.0,5.0,0.009505703422053232
61244 Kasel-Golzig,12061244,2018-12-31,653.0,24.0,0.03545051698670606
"61260 Königs Wusterhausen, Stadt",12061260,2018-12-31,34935.0,2255.0,0.06063457918795375
61265 Krausnick-Groß Wasserburg,12061265,2018-12-31,586.0,4.0,0.006779661016949152
"61308 Lieberose, Stadt",12061308,2018-12-31,1355.0,5.0,0.003676470588235294
"61316 Lübben (Spreewald), Stadt",12061316,2018-12-31,13624.0,400.0,0.02852253280091272
"61320 Luckau, Stadt",12061320,2018-12-31,9104.0,478.0,0.04988520141932791
"61328 Märkisch Buchholz, Stadt",12061328,2018-12-31,790.0,44.0,0.05275779376498801
61329 Märkische Heide,12061329,2018-12-31,3865.0,28.0,0.007192396609298741
"61332 Mittenwalde, Stadt",12061332,2018-12-31,8849.0,291.0,0.031838074398249455
61344 Münchehofe,12061344,2018-12-31,467.0,7.0,0.014767932489451477
61352 Neu Zauche,12061352,2018-12-31,1088.0,5.0,0.004574565416285453
61405 Rietzneuendorf-Staakow,12061405,2018-12-31,584.0,15.0,0.025041736227045076
61428 Schlepzig,12061428,2018-12-31,597.0,6.0,0.009950248756218905
61433 Schönefeld,12061433,2018-12-31,13995.0,1477.0,0.09546277145811789
61435 Schönwald,12061435,2018-12-31,1135.0,27.0,0.02323580034423408
61444 Schulzendorf,12061444,2018-12-31,8068.0,154.0,0.018730235952323034
61448 Schwerin,12061448,2018-12-31,822.0,25.0,0.0295159386068477
61450 Schwielochsee,12061450,2018-12-31,1460.0,10.0,0.006802721088435374
61470 Spreewaldheide,12061470,2018-12-31,464.0,5.0,0.010660980810234541
61471 Steinreich,12061471,2018-12-31,452.0,30.0,0.06224066390041494
61476 Straupitz,12061476,2018-12-31,925.0,12.0,0.012806830309498399
"61492 Teupitz, Stadt",12061492,2018-12-31,1822.0,95.0,0.0495565988523735
61510 Unterspreewald,12061510,2018-12-31,785.0,11.0,0.013819095477386936
61540 Wildau,12061540,2018-12-31,9650.0,653.0,0.06337959817528875
61572 Zeuthen,12061572,2018-12-31,11075.0,306.0,0.026886916791143134
"62024 Bad Liebenwerda, Stadt",12062024,2018-12-31,9082.0,106.0,0.011536787113626469
62088 Crinitz,12062088,2018-12-31,1180.0,2.0,0.001692047377326565
"62092 Doberlug-Kirchhain, Stadt",12062092,2018-12-31,8260.0,802.0,0.08850143456190686
"62124 Elsterwerda, Stadt",12062124,2018-12-31,7554.0,302.0,0.03844195519348269
"62128 Falkenberg/Elster, Stadt",12062128,2018-12-31,6240.0,128.0,0.020100502512562814
62134 Fichtwald,12062134,2018-12-31,605.0,9.0,0.014657980456026058
"62140 Finsterwalde, Stadt",12062140,2018-12-31,15433.0,787.0,0.04852034525277435
62177 Gorden-Staupitz,12062177,2018-12-31,953.0,3.0,0.0031380753138075313
62196 Gröden,12062196,2018-12-31,1329.0,17.0,0.01263001485884101
62208 Großthiemig,12062208,2018-12-31,1015.0,3.0,0.0029469548133595285
62219 Heideland,12062219,2018-12-31,505.0,1.0,0.001976284584980237
"62224 Herzberg (Elster), Stadt",12062224,2018-12-31,8636.0,391.0,0.04331450094161959
62232 Hirschfeld,12062232,2018-12-31,1248.0,,
62237 Hohenbucko,12062237,2018-12-31,635.0,3.0,0.004702194357366771
62240 Hohenleipisch,12062240,2018-12-31,1901.0,113.0,0.05610724925521351
62282 Kremitzaue,12062282,2018-12-31,801.0,5.0,0.00620347394540943
62289 Lebusa,12062289,2018-12-31,744.0,15.0,0.019762845849802372
62293 Lichterfeld-Schacksdorf,12062293,2018-12-31,923.0,61.0,0.061991869918699184
62333 Massen-Niederlausitz,12062333,2018-12-31,1884.0,14.0,0.007376185458377239
62336 Merzdorf,12062336,2018-12-31,829.0,3.0,0.003605769230769231
"62341 Mühlberg/Elbe, Stadt",12062341,2018-12-31,3708.0,26.0,0.006963042313872523
62372 Plessa,12062372,2018-12-31,2643.0,11.0,0.004144687264506406
62410 Röderland,12062410,2018-12-31,3822.0,14.0,0.0036496350364963502
62417 Rückersdorf,12062417,2018-12-31,1342.0,8.0,0.005925925925925926
62425 Sallgast,12062425,2018-12-31,1429.0,16.0,0.011072664359861591
62440 Schilda,12062440,2018-12-31,450.0,4.0,0.00881057268722467
"62445 Schlieben, Stadt",12062445,2018-12-31,2391.0,31.0,0.012799339388934764
62453 Schönborn,12062453,2018-12-31,1478.0,46.0,0.030183727034120734
"62461 Schönewalde, Stadt",12062461,2018-12-31,3017.0,23.0,0.007565789473684211
62464 Schraden,12062464,2018-12-31,495.0,1.0,0.0020161290322580645
"62469 Sonnewalde, Stadt",12062469,2018-12-31,3182.0,49.0,0.015165583410708759
62492 Tröbitz,12062492,2018-12-31,674.0,11.0,0.016058394160583942
"62500 Uebigau-Wahrenbrück, Stadt",12062500,2018-12-31,5204.0,41.0,0.007816968541468065
63036 Brieselang,12063036,2018-12-31,11762.0,237.0,0.01975164597049754
63056 Dallgow-Döberitz,12063056,2018-12-31,9613.0,318.0,0.03202094451716846
"63080 Falkensee, Stadt",12063080,2018-12-31,41867.0,1977.0,0.04509168871453335
"63088 Friesack, Stadt",12063088,2018-12-31,2397.0,141.0,0.05555555555555555
63094 Gollenberg,12063094,2018-12-31,404.0,1.0,0.0024691358024691358
63112 Großderschau,12063112,2018-12-31,434.0,2.0,0.0045871559633027525
63134 Havelaue,12063134,2018-12-31,850.0,10.0,0.011627906976744186
63142 Wiesenaue,12063142,2018-12-31,764.0,16.0,0.020512820512820513
"63148 Ketzin/Havel, Stadt",12063148,2018-12-31,6303.0,195.0,0.030009233610341645
