Name,AGS,Afghanistan,Afrika,Albanien,Algerien,Amerika,Andorra,Angola,Antigua und Barbuda,Argentinien,Armenien,Aserbaidschan,Asien,Australien,Australien und Ozeanien,Bahamas,Bahrain,Bangladesch,Barbados,Belgien,Belize,Benin,Bhutan,Bolivien,Bosnien und Herzegowina,Botsuana,Brasilien,Britische Überseegebiete,Brunei Darussalam,Bulgarien,Burkina Faso,Burundi,Cabo Verde,Chile,China,Costa Rica,Côte d'Ivoire,Dominica,Dominikanische Republik,Dschibuti,Dänemark,EU-Kandidatenländer,EU-Staaten,EWR-Staaten/Schweiz,Ecuador,El Salvador,Eritrea,Estland,Eswatini,Europa,Fidschi,Finnland,Frankreich,Gabun,Gambia,Gebiet der ehemaligen Sowjetunion,Gebiet der ehemaligen Tschechoslowakei,Gebiet des ehemaligen Jugoslawien,Gebiet des ehemaligen Serbien und Montenegro,Georgien,Ghana,Grenada,Griechenland,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hongkong,Indien,Indonesien,Insgesamt,Irak,Iran,Irland,Island,Israel,Italien,Jamaika,Japan,Jemen,Jordanien,Kambodscha,Kamerun,Kanada,Kasachstan,Katar,Kenia,Kirgisistan,Kiribati,Kolumbien,Komoren,Kongo,"Kongo, Demokratische Republik","Korea, Demokratische Volksrepublik","Korea, Republik",Kosovo,Kroatien,Kuba,Kuwait,Laos,Lesotho,Lettland,Libanon,Liberia,Libyen,Liechtenstein,Litauen,Luxemburg,Macau,Madagaskar,Malawi,Malaysia,Malediven,Mali,Malta,Marokko,Marshallinseln,Mauretanien,Mauritius,Mazedonien,Mexiko,Mikronesien,Mittelamerika und Karibik,Moldau,Monaco,Mongolei,Montenegro,Mosambik,Myanmar,Namibia,Nauru,Nepal,Neuseeland,Nicaragua,Niederlande,Niger,Nigeria,Nordafrika,Nordamerika,Nordmazedonien,Norwegen,Oman,Ost- und Zentralasien,Ostafrika,Ostund Zentralasien,Pakistan,Palau,Palästinensische Gebiete,Panama,Papua-Neuguinea,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russische Föderation,Salomonen,Sambia,Samoa,San Marino,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien (mit Kosovo),Serbien (mit und ohne Kosovo),Serbien (ohne Kosovo),Seychellen,Sierra Leone,Simbabwe,Singapur,Slowakei,Slowenien,Somalia,Sonstige Ausprägungen,Sonstiges Europa,Spanien,Sri Lanka,St. Kitts und Nevis,St. Lucia,St. Vincent und die Grenadinen,Staatenlos,Sudan (mit Südsudan),Sudan (ohne Südsudan),Suriname,Syrien,Sâo Tomé und Princípe,Süd- und Südostasien,Südafrika,Südamerika,Südliches Afrika,Südsudan,Südund Südostasien,Tadschikistan,Taiwan,Tansania,Thailand,Timor-Leste,Togo,Tonga,Trinidad und Tobago,Tschad,Tschechien,Tunesien,Turkmenistan,Tuvalu,Türkei,Uganda,Ukraine,Ungarn,Ungeklärt und ohne Angabe,Uruguay,Usbekistan,Vanuatu,Vatikanstadt,Venezuela,Vereinigte Arabische Emirate,Vereinigte Staaten,Vereinigtes Königreich,Vereinigtes Königreich einschließlich Britische Überseegebiete,Vietnam,Vorderasien,Weißrussland,Westafrika,Zentralafrika,Zentralafrikanische Republik,Zypern,[ehemalige Sowjetunion],[ehemalige Tschechoslowakei],[ehemaliges Jugoslawien],ehem. Serbien und Montenegro,"ohne Angabe, unbekannt",staatenlos,ungeklärt,year,Ägypten,Äquatorialguinea,Äthiopien,Österreich
Brandenburg an der Havel,12051,270,,20,10,,.,5,.,.,5,15,,.,,.,5,5,.,.,.,.,.,.,45,.,15,.,.,115,.,.,.,5,25,.,5,.,.,.,5,,,,.,.,95,5,.,,.,5,10,.,.,,,,,10,5,.,30,.,5,.,.,.,.,.,40,35,4350,20,110,5,.,5,75,.,5,.,10,.,125,5,15,.,45,5,.,5,.,.,5,.,5,25,50,35,.,.,.,15,15,.,.,.,50,.,.,.,.,15,.,.,.,15,.,.,.,,5,.,,30,.,5,10,.,.,.,.,.,.,.,15,.,10,,,40,.,.,,,,50,.,.,.,.,.,5,15,265,10,.,190,290,.,.,.,.,5,.,5,.,.,,60,.,.,.,.,25,5,55,,,55,5,.,.,.,,.,10,.,865,.,,5,,,.,,.,5,.,15,.,.,.,.,10,25,35,.,.,120,.,200,80,,.,10,.,.,5,.,30,15,,155,,35,,,.,.,10,5,5,.,.,15,60,2019,10,5,.,20
Brandenburg an der Havel,12051,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,105,,,,,,,,,,,5,,,,,,,5,,,,5,15,,,,,,,,,,30,,,,,,,,,,,,,5,,,75,,,,,,,,,,,,,,,,,,,,20,,,,,15,,,,,25,.,,,,,,,.,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,285,10,,150,,,,,,,.,,,,,,,,,,15,5,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,75,,,,,,,,,15,,,,,,,,.,,,,,,,,2018,,,,20
Brandenburg an der Havel,12051,195,350,10,10,110,,,,.,5,25,1555,5,5,,,,,5,,,,,35,,15,.,,85,,,,5,35,,,,,,5,155,875,5,,,,5,,1630,,5,10,,,,,,,5,.,,40,,,,,,,,30,25,3710,20,90,5,.,10,75,,5,,10,,85,,20,,,,,,,,5,,5,15,10,,,,,15,10,,,.,20,.,,,,,,,.,15,,,,20,10,,55,25,,,5,,,,,,,,10,,5,50,25,,.,,290,160,,75,,.,,,,,5,270,10,,115,280,,,,,,.,5,,,20,,,,,,10,5,,60,595,60,.,,,,,,,,750,,325,5,30,10,,,,10,,20,,.,,,,25,25,,,95,,195,45,45,,,,,,,20,10,,155,940,30,15,115,,.,,,,,,15,,2017,5,,5,20
Brandenburg an der Havel,12051,190,230,10,10,105,,,,.,5,20,1340,.,5,,,,,5,,,,,30,,15,.,,85,,,,5,30,,,,,,5,135,825,5,,,,5,,1515,,5,10,,,605,40,105,40,.,.,,30,,,,,,,,35,20,3245,20,65,5,.,5,65,,5,,15,,60,,20,,,,,,,,5,,5,20,10,,,,,20,10,,,.,15,.,,,,,,,.,10,,,,15,,,50,25,,,5,,,,,,,,20,,5,45,30,,.,,,85,275,80,,.,,,,,5,265,10,,95,235,,,,,,.,5,,,20,,,,,,10,5,,50,550,55,.,,,,15,,,,565,,,5,30,10,,315,,10,,15,,.,,,,25,15,,,85,,205,40,35,,,,,,,25,10,10,155,750,25,15,80,,.,,,,.,,,,2016,5,,.,20
Brandenburg an der Havel,12051,111,193,34,4,106,,,,0,4,20,863,2,3,,,,,5,,,,,30,,20,0,,94,,,,3,32,,,,,,5,161,829,3,,,,7,,1528,,2,11,,,598,39,110,46,2,1,,28,,,,,,,,30,8,2728,17,15,6,0,6,56,,3,,10,,54,,20,,,,,,,,9,,3,19,12,,,,,21,7,,,0,19,0,,,,,,,1,10,,,,11,,,48,28,,,5,,,,,,,,19,,5,34,27,,0,,,62,200,65,,0,,,,,4,273,11,,94,213,,,,,,0,3,,,21,,,,,,12,6,,35,535,56,1,,,,9,,,,254,,,4,31,8,,286,,7,,17,,0,,,,23,10,,,84,,209,38,26,,,,,,,22,8,8,158,377,24,15,74,,0,,,,1,,,,2015,2,,2,18
Brandenburg an der Havel,12051,44,146,1,4,93,,,,0,2,21,454,2,3,,,,,3,,,,,32,,14,0,,78,,,,3,28,,,,,,5,117,642,2,,,,6,,1274,,2,10,,,555,34,94,47,1,0,,21,,,,,,,,31,4,1987,17,9,7,0,5,56,,0,,4,,22,,13,,,,,,,,9,,3,23,3,,,,,18,6,,,0,18,0,,,,,,,1,5,,,,7,,,44,28,,,5,,,,,,,,18,,5,33,23,,0,,,50,115,26,,0,,,,,3,189,10,,75,187,,,,,,0,2,,,19,,,,,,10,1,,17,513,30,1,,,,7,,,,22,,,3,26,7,,242,,6,,15,,0,,,,21,8,,,81,,211,33,10,,,,,,,19,8,8,161,97,21,14,42,,0,,,,0,,,,2014,2,,1,16
Cottbus und LK Spree-Neiße,12052,895,,35,30,,.,.,.,5,25,50,,10,,.,.,110,.,20,.,.,.,5,45,.,40,.,.,175,.,.,.,25,250,5,5,.,10,.,.,,,,5,.,120,10,.,,.,.,50,.,.,,,,,20,40,.,135,5,10,.,.,5,5,5,280,20,13290,80,285,5,.,10,125,.,15,35,40,5,95,10,40,.,45,10,.,50,.,.,10,.,30,65,50,25,.,.,.,35,45,.,5,.,25,5,.,.,.,5,.,.,.,75,.,.,5,,20,.,,25,.,25,10,10,.,.,.,30,5,.,30,.,185,,,40,5,.,,,,130,.,.,.,.,.,10,15,2330,35,.,205,835,.,.,.,.,.,10,10,5,.,,95,.,5,.,.,120,15,55,,,140,5,.,.,.,,.,5,.,2880,.,,5,,,.,,15,20,5,55,.,5,.,.,50,85,55,5,.,270,5,520,120,,.,40,.,.,15,.,70,25,,410,,95,,,.,.,5,.,.,.,10,50,205,2019,115,.,10,55
Cottbus und LK Spree-Neiße,12052,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,140,,,,,,,,,,,.,,,,,,,10,,,,.,45,,,,,,,,,,125,,,,,,,,,,,,,5,,,125,,,,,,,,,,,,,,,,,,,,40,,,,,30,,,,,25,5,,,,,,,.,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,2185,35,,180,,,,,,,10,,,,,,,,,,90,10,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,125,,,,,,,,,30,,,,,,,,.,,,,,,,,2018,,,,55
Cottbus und LK Spree-Neiße,12052,850,900,25,30,305,,,,5,15,40,5725,5,5,,,,,15,,,,,40,,45,.,,135,,,,30,260,,,,,,.,420,3315,15,,,,10,,5360,,5,45,,,,,,,15,40,,135,,,,,,,,230,25,12510,85,200,5,.,5,115,,20,,45,,115,,35,,,,,,,,10,,30,50,45,,,,,30,45,,,.,25,5,,,,,,,.,65,,,,30,20,,60,25,,,10,,,,,,,,30,,125,225,80,,5,,1295,285,,130,,5,,,,,10,1990,30,,165,875,,,,,,10,10,,,100,,,,,,90,10,,215,1610,125,.,,,,,,,,3020,,935,5,165,20,,,,10,,40,,5,,,,75,40,,,240,,530,135,155,,,,,,,70,25,,430,3490,85,190,175,,.,,,,,,55,,2017,85,,10,50
Cottbus und LK Spree-Neiße,12052,755,755,35,20,270,,,,.,10,30,4795,5,10,,,,,15,,,,,40,,35,.,,140,,,,25,295,,,,,,5,425,3205,15,,,,10,,5130,,.,45,,,1605,150,290,150,5,30,,130,,,,,,,,200,20,11150,70,165,5,.,10,110,,20,,20,,120,,35,,,,,,,,5,,30,45,50,,,,,30,30,,,.,20,5,,,,,,,.,55,,,,25,,,60,30,,,10,,,,,,,,30,,110,175,80,,.,,,225,1230,150,,.,,,,,10,1880,35,,150,780,,,,,,10,15,,,95,,,,,,85,10,,185,1490,135,.,,,,40,,,,2300,,,5,135,20,,915,,15,,45,,.,,,,65,30,,,245,,515,150,150,,,,,,,65,35,35,435,2655,80,150,185,,5,,,,5,,,,2016,65,,.,50
