Stimmart_,"Gemeinde-
schlüssel
—
Wahlkreis-
nummer_","Land - Landkreis / kfr. Stadt - Amt - Gemeinde
—
Wahlkreis_",Name_,Wahlberechtigte insgesamt_Anzahl,Wahlberechtigte A1_,Wahlberechtigte A2_,Wahlberechtigte A3_,Wähler_,"Wahl-
beteiligung_%",Ungültige Stimmen_Anzahl,"Gültige
Stimmen_",SPD_,SPD_%_2019,CDU_Anzahl_2019,CDU_%_2019,DIE LINKE_Anzahl_2019,DIE LINKE_%_2019,AfD_Anzahl_2019,AfD_%_2019,GRÜNE/B 90_Anzahl_2019,GRÜNE/B 90_%_2019,BVB / FREIE WÄHLER_Anzahl_2019,BVB / FREIE WÄHLER_%_2019,PIRATEN_Anzahl_2019,PIRATEN_%_2019,FDP_Anzahl_2019,FDP_%_2019,ÖDP_Anzahl,ÖDP_%,Tierschutzpartei_Anzahl,Tierschutzpartei_%,V-Partei³_Anzahl,V-Partei³_%,AGS,AfD_%_2014,AfD_Anzahl_2014,BVB / FREIE WÄHLER_%_2014,BVB / FREIE WÄHLER_Anzahl_2014,CDU_%_2014,CDU_Anzahl_2014,DIE LINKE_%_2014,DIE LINKE_Anzahl_2014,DKP_%,DKP_Anzahl,FDP_%_2014,FDP_Anzahl_2014,GRÜNE/B 90_%_2014,GRÜNE/B 90_Anzahl_2014,Gemeindename_,Gemeindename_gesamt,Gemeindenummer_,Gültige Stimmen_%,Gültige Stimmen_Anzahl,NPD_%,NPD_Anzahl,PIRATEN_%_2014,PIRATEN_Anzahl_2014,REP_%,REP_Anzahl,SPD_%_2014,SPD_Anzahl,Unnamed: 2_ausgezählt,Unnamed: 32_,Unnamed: 33_,Unnamed: 3_%,Unnamed: 4_,Unnamed: 7_%,Unnamed: 8_Anzahl,Unnamed: 9_,Verwaltungsbezik,Wahlberechtigte_%,Wahlberechtigte_Anzahl,Wähler_%,Wähler_Anzahl,Wähler_Anzahl_,Wähler_Anzahl_Anzahl,_merge,diff_afd
Zweistimme,12051000,kreisefreie Stadt,"Brandenburg an der Havel, Stadt",59696,53778.0,5918.0,0.0,31395.0,52.6,467,30928.0,7950.0,25.7,5378,17.4,3131,10.1,6659,21.5,3672,11.9,1728,5.6,199,0.6,1115,3.6,205,0.7,819,2.6,72,0.2,12051000,10.3,2378,0.9,197,24.9,5737,17.6,4045,0.2,52,1,229,5.8,1342,,,,98.4,23008,1.4,312,1.5,342,0.1,33,36.3,8341,,,,,,,,,Brandenburg an der Havel,x,61179,38.2,23385,,,both,11.2
Zweistimme,12052000,kreisefreie Stadt,"Cottbus, Stadt",79600,65030.0,14570.0,0.0,49023.0,61.6,588,48435.0,11967.0,24.7,7467,15.4,5274,10.9,13003,26.8,4001,8.3,1955,4,418,0.9,2733,5.6,272,0.6,1200,2.5,145,0.3,12052000,10.7,4341,1.6,647,28.9,11691,17.2,6975,0.3,139,1.1,448,4.5,1838,,,,97.8,40502,1.9,761,1.8,718,0.1,58,31.8,12886,,,,,,,,,Cottbus,x,83652,49.5,41415,,,both,16.1
Zweistimme,12053000,kreisefreie Stadt,"Frankfurt (Oder), Stadt",45561,39401.0,6160.0,0.0,25358.0,55.7,306,25052.0,5833.0,23.3,3744,14.9,4385,17.5,6138,24.5,2270,9.1,832,3.3,165,0.7,953,3.8,112,0.4,558,2.2,62,0.2,12053000,19.7,4307,1,224,19.4,4251,24.9,5442,0.2,51,1.1,242,5.3,1160,,,,98.4,21888,2.2,473,1.3,292,0.2,35,24.7,5411,,,,,,,,,Frankfurt (Oder),x,48117,46.2,22245,,,both,4.800000000000001
Zweistimme,12054000,kreisefreie Stadt,"Potsdam, Stadt",137613,108609.0,29004.0,0.0,95312.0,69.3,727,94585.0,24639.0,26,11356,12,13545,14.3,12902,13.6,21019,22.2,2191,2.3,825,0.9,4335,4.6,966,1,2390,2.5,417,0.4,12054000,9.4,6751,1.3,910,17.7,12707,23.7,17009,0.5,324,1.6,1149,13.6,9755,,,,98.9,71830,0.8,571,2.8,1984,0.1,97,28.6,20573,,,,,,,,,Potsdam,x,130541,55.7,72647,,,both,4.199999999999999
Zweistimme,12060005,amtsfreie Gemeinde,Ahrensfelde,11619,9673.0,1946.0,0.0,7346.0,63.2,110,7236.0,1671.0,23.1,1240,17.1,951,13.1,1728,23.9,643,8.9,557,7.7,35,0.5,207,2.9,22,0.3,174,2.4,8,0.1,12060005,13.6,749,3.4,189,22.1,1214,25.3,1388,0.3,19,1,56,4.3,237,Ahrensfelde,16,60005,,,2.2,119,1.2,66,0.3,18,26.2,1441,16,LT14,60005,100,LT14,49.87882595817252,61,5496,,,,,,5557,11141,both,10.299999999999999
Zweistimme,12060020,amtsfreie Gemeinde,"Bernau bei Berlin, Stadt",32867,27722.0,5145.0,0.0,19230.0,58.5,215,19015.0,3745.0,19.7,2005,10.5,2992,15.7,3674,19.3,1945,10.2,3388,17.8,238,1.3,416,2.2,86,0.5,477,2.5,49,0.3,12060020,9.9,1502,10.3,1557,17,2571,26.9,4073,0.3,45,0.8,125,5.1,775,"Bernau bei Berlin, Stadt",37,60020,,,2,296,1.6,246,0.2,25,25.9,3928,37,LT14,60020,100,LT14,49.61463430234417,371,15143,,,,,,15514,31269,both,9.4
Zweistimme,12060052,amtsfreie Gemeinde,"Eberswalde, Stadt",33530,29541.0,3989.0,0.0,16521.0,49.3,175,16346.0,4278.0,26.2,2087,12.8,2199,13.5,3823,23.4,1939,11.9,779,4.8,116,0.7,503,3.1,178,1.1,405,2.5,39,0.2,12060052,9.5,1268,1.3,177,21.9,2937,21.5,2884,0.3,39,2.6,352,6.6,889,"Eberswalde, Stadt",38,60052,,,2.2,295,1.3,177,0.2,30,32.5,4365,38,LT14,60052,100,LT14,40.46802978371351,283,13413,,,,,,13696,33844,both,13.899999999999999
Zweistimme,12060181,amtsfreie Gemeinde,Panketal,17351,14084.0,3267.0,0.0,11627.0,67,97,11530.0,2751.0,23.9,1477,12.8,1452,12.6,2263,19.6,1422,12.3,1348,11.7,87,0.8,371,3.2,57,0.5,273,2.4,29,0.3,12060181,12.8,1101,2.2,192,19.3,1655,23.1,1981,0.3,22,1.4,116,8.5,733,Panketal,18,60181,,,1.5,128,1.5,125,0.1,10,29.4,2525,18,LT14,60181,100,LT14,51.431959679810255,86,8588,,,,,,8674,16865,both,6.800000000000001
Zweistimme,12060198,amtsfreie Gemeinde,Schorfheide,8926,7516.0,1410.0,0.0,5555.0,62.2,93,5462.0,1332.0,24.4,864,15.8,748,13.7,1350,24.7,403,7.4,394,7.2,29,0.5,185,3.4,28,0.5,121,2.2,8,0.1,12060198,12,470,2.2,88,25.3,993,20.9,820,0.2,6,1.5,59,4,159,Schorfheide,15,60198,,,1.8,72,1.2,47,0.4,14,30.6,1202,15,LT14,60198,100,LT14,45.701874714220395,68,3930,,,,,,3998,8748,both,12.7
Zweistimme,12060269,amtsfreie Gemeinde,Wandlitz,19427,15683.0,3744.0,0.0,12831.0,66,215,12616.0,2944.0,23.3,1739,13.8,1488,11.8,2915,23.1,1465,11.6,1148,9.1,60,0.5,432,3.4,56,0.4,326,2.6,43,0.3,12060269,12.8,1118,3.4,294,22.5,1966,22.2,1943,0.3,29,1.4,124,6.4,561,Wandlitz,19,60269,,,1.8,160,1.2,105,0.3,23,27.7,2424,19,LT14,60269,100,LT14,47.94386953459392,102,8747,,,,,,8849,18457,both,10.3
Zweistimme,12060280,amtsfreie Gemeinde,"Werneuchen, Stadt",7563,6703.0,860.0,0.0,4814.0,63.7,144,4670.0,1194.0,25.6,591,12.7,489,10.5,1267,27.1,345,7.4,456,9.8,25,0.5,113,2.4,22,0.5,153,3.3,15,0.3,12060280,13.3,390,3.1,90,18.7,548,24.7,725,0.3,9,1,28,3.5,103,"Werneuchen, Stadt",14,60280,,,2.5,73,2.2,64,0.5,16,30.3,889,14,LT14,60280,100,LT14,42.94117647058823,58,2935,,,,,,2993,6970,both,13.8
Zweistimme,12060024 03,amtsangehörige Gemeinde,"Biesenthal, Stadt",4916,4234.0,682.0,0.0,2226.0,45.3,27,2199.0,508.0,23.1,352,16,261,11.9,491,22.3,239,10.9,225,10.2,13,0.6,56,2.5,5,0.2,48,2.2,1,0,12060024,10.8,180,7.4,124,19.4,324,23.6,394,0.1,1,1,17,8.3,138,"Biesenthal, Stadt",5,60803024,,,2.6,43,1.3,22,0.2,3,25.4,425,5,LT14,60803024,100,LT14,35.84826132771338,30,1671,,,,,,1701,4745,both,11.5
Zweistimme,12060034 03,amtsangehörige Gemeinde,Breydin,667,602.0,65.0,0.0,382.0,57.3,3,379.0,99.0,26.1,52,13.7,38,10,120,31.7,28,7.4,17,4.5,4,1.1,12,3.2,2,0.5,6,1.6,1,0.3,12060034,7.1,22,1.9,6,26.9,83,17.9,55,0,0,1.6,5,4.5,14,Breydin,2,60803034,,,2.9,9,1.9,6,0.3,1,34.7,107,2,LT14,60803034,100,LT14,46.73590504451038,7,308,,,,,,315,674,both,24.6
Zweistimme,12060154 03,amtsangehörige Gemeinde,Marienwerder,1485,1313.0,172.0,0.0,751.0,50.6,9,742.0,189.0,25.5,111,15,78,10.5,209,28.2,52,7,44,5.9,3,0.4,25,3.4,2,0.3,29,3.9,0,0,12060154,15.4,96,1.6,10,24.2,151,18.1,113,0.3,2,1,6,4.5,28,Marienwerder,3,60803154,,,3.7,23,1.1,7,0.3,2,29.8,186,3,LT14,60803154,100,LT14,41.474654377880185,6,624,,,,,,630,1519,both,12.799999999999999
Zweistimme,12060161 03,amtsangehörige Gemeinde,Melchow,852,711.0,141.0,0.0,436.0,51.2,6,430.0,110.0,25.6,52,12.1,44,10.2,84,19.5,51,11.9,55,12.8,5,1.2,11,2.6,2,0.5,16,3.7,0,0,12060161,5.8,21,7.7,28,23.4,85,16,58,0.6,2,0.8,3,9.6,35,Melchow,1,60803161,,,1.7,6,2.5,9,0.3,1,31.7,115,1,LT14,60803161,100,LT14,44.71153846153847,9,363,,,,,,372,832,both,13.7
Zweistimme,12060192 03,amtsangehörige Gemeinde,Rüdnitz,1700,1499.0,201.0,0.0,817.0,48.1,11,806.0,164.0,20.3,97,12,114,14.1,182,22.6,89,11,112,13.9,6,0.7,22,2.7,1,0.1,15,1.9,4,0.5,12060192,7.6,47,5.8,36,19.3,120,26.9,167,0,0,1.4,9,6.3,39,Rüdnitz,3,60803192,,,2.3,14,1.4,9,0,0,29,180,3,LT14,60803192,100,LT14,37.55952380952381,10,621,,,,,,631,1680,both,15.000000000000002
Zweistimme,12060250 03,amtsangehörige Gemeinde,Sydower Fließ,773,702.0,71.0,0.0,409.0,52.9,7,402.0,89.0,22.1,71,17.7,35,8.7,102,25.4,36,9,31,7.7,8,2,12,3,4,1,13,3.2,1,0.2,12060250,8.2,27,2.1,7,20.7,68,22.3,73,0.6,2,2.7,9,5.8,19,Sydower Fließ,2,60803250,,,2.7,9,1.8,6,0,0,32.9,108,2,LT14,60803250,100,LT14,46.94444444444444,10,328,,,,,,338,720,both,17.2
Zweistimme,12060012 06,amtsangehörige Gemeinde,Althüttendorf,557,469.0,88.0,0.0,266.0,47.8,0,266.0,65.0,24.4,56,21.1,32,12,59,22.2,18,6.8,13,4.9,7,2.6,9,3.4,1,0.4,6,2.3,0,0,12060012,6.8,16,0.4,1,39.1,92,14.5,34,0,0,1.7,4,4.3,10,Althüttendorf,2,60806012,,,3.4,8,0.4,1,0,0,29.4,69,2,LT14,60806012,100,LT14,44.320297951582866,3,235,,,,,,238,537,both,15.399999999999999
Zweistimme,12060068 06,amtsangehörige Gemeinde,Friedrichswalde,711,596.0,115.0,0.0,381.0,53.6,7,374.0,73.0,19.5,126,33.7,30,8,69,18.4,42,11.2,10,2.7,2,0.5,17,4.5,1,0.3,4,1.1,0,0,12060068,7.7,25,2.2,7,50.3,163,12,39,0,0,1.2,4,3.4,11,Friedrichswalde,2,60806068,,,1.2,4,0.6,2,0,0,21.3,69,2,LT14,60806068,100,LT14,44.99314128943759,4,324,,,,,,328,729,both,10.7
Zweistimme,12060100 06,amtsangehörige Gemeinde,"Joachimsthal, Stadt",2803,2418.0,385.0,0.0,1011.0,36.1,15,996.0,254.0,25.5,203,20.4,81,8.1,292,29.3,78,7.8,31,3.1,6,0.6,24,2.4,2,0.2,25,2.5,0,0,12060100,11.2,94,1.6,13,27.7,232,22,184,0.2,2,1.7,14,3.5,29,"Joachimsthal, Stadt",3,60806100,,,3.7,31,1,8,0,0,27.6,231,3,LT14,60806100,100,LT14,29.828250963897652,13,838,,,,,,851,2853,both,18.1
Zweistimme,12060296 06,amtsangehörige Gemeinde,Ziethen,370,338.0,32.0,0.0,206.0,55.7,4,202.0,53.0,26.2,26,12.9,23,11.4,57,28.2,17,8.4,7,3.5,1,0.5,10,5,0,0,8,4,0,0,12060296,17.4,29,0,0,15,25,22.2,37,0,0,3,5,10.2,17,Ziethen,2,60806296,,,3.6,6,1.8,3,0,0,26.9,45,2,LT14,60806296,100,LT14,46.849315068493155,4,167,,,,,,171,365,both,10.8
Zweistimme,12060036 11,amtsangehörige Gemeinde,Britz,1840,1614.0,226.0,0.0,908.0,49.3,12,896.0,256.0,28.6,128,14.3,93,10.4,260,29,52,5.8,48,5.4,4,0.4,30,3.3,3,0.3,20,2.2,2,0.2,12060036,10.6,78,0.8,6,24.1,177,16.6,122,0.3,2,2.7,20,5.3,39,Britz,3,60811036,,,2.2,16,1.4,10,0,0,35.9,263,3,LT14,60811036,100,LT14,39.04109589041096,8,733,,,,,,741,1898,both,18.4
Zweistimme,12060045 11,amtsangehörige Gemeinde,Chorin,1965,1704.0,261.0,0.0,1002.0,51,17,985.0,243.0,24.7,182,18.5,95,9.6,215,21.8,154,15.6,37,3.8,3,0.3,34,3.5,2,0.2,18,1.8,2,0.2,12060045,7.7,70,1.9,17,28,253,16.6,150,0.4,4,2.2,20,8,72,Chorin,7,60811045,,,2.3,21,1.1,10,0.2,2,31.5,285,7,LT14,60811045,100,LT14,46.43574297188755,21,904,,,,,,925,1992,both,14.100000000000001
Zweistimme,12060092 11,amtsangehörige Gemeinde,Hohenfinow,441,391.0,50.0,0.0,228.0,51.7,8,220.0,50.0,22.7,30,13.6,25,11.4,72,32.7,14,6.4,17,7.7,0,0,6,2.7,1,0.5,4,1.8,1,0.5,12060092,10.9,19,3.4,6,24.6,43,25.1,44,0,0,2.9,5,3.4,6,Hohenfinow,1,60811092,,,5.7,10,0.6,1,0,0,23.4,41,1,LT14,60811092,100,LT14,39.285714285714285,1,175,,,,,,176,448,both,21.800000000000004
Zweistimme,12060128 11,amtsangehörige Gemeinde,Liepe,597,502.0,95.0,0.0,256.0,42.9,3,253.0,69.0,27.3,52,20.6,24,9.5,79,31.2,8,3.2,4,1.6,2,0.8,10,4,0,0,5,2,0,0,12060128,12,23,1.6,3,25.7,49,17.3,33,0,0,2.1,4,4.7,9,Liepe,1,60811128,,,2.1,4,1.6,3,0,0,33,63,1,LT14,60811128,100,LT14,32.02614379084967,5,191,,,,,,196,612,both,19.2
Zweistimme,12060149 11,amtsangehörige Gemeinde,Lunow-Stolzenhagen,1021,920.0,101.0,0.0,481.0,47.1,8,473.0,104.0,22,69,14.6,43,9.1,194,41,35,7.4,11,2.3,1,0.2,8,1.7,3,0.6,5,1.1,0,0,12060149,10.5,37,0,0,26.3,93,17.8,63,0,0,2,7,7.3,26,Lunow-Stolzenhagen,2,60811149,,,3.7,13,0.6,2,0.3,1,31.6,112,2,LT14,60811149,100,LT14,35.24271844660194,9,354,,,,,,363,1030,both,30.5
Zweistimme,12060172 11,amtsangehörige Gemeinde,Niederfinow,520,451.0,69.0,0.0,256.0,49.2,5,251.0,58.0,23.1,40,15.9,18,7.2,80,31.9,26,10.4,14,5.6,1,0.4,5,2,0,0,9,3.6,0,0,12060172,10.7,21,1.5,3,25.4,50,17.3,34,0.5,1,5.1,10,9.1,18,Niederfinow,1,60811172,,,1,2,2,4,0,0,27.4,54,1,LT14,60811172,100,LT14,36.87150837988827,1,197,,,,,,198,537,both,21.2
Zweistimme,12060176 11,amtsangehörige Gemeinde,"Oderberg, Stadt",1799,1641.0,158.0,0.0,693.0,38.5,8,685.0,186.0,27.2,80,11.7,64,9.3,239,34.9,37,5.4,37,5.4,3,0.4,23,3.4,3,0.4,13,1.9,0,0,12060176,14.4,79,2.2,12,22.1,121,16.1,88,0.4,2,0.7,4,2.7,15,"Oderberg, Stadt",2,60811176,,,5.8,32,1.6,9,0.4,2,33.6,184,2,LT14,60811176,100,LT14,29.526315789473685,13,548,,,,,,561,1900,both,20.5
Zweistimme,12060185 11,amtsangehörige Gemeinde,Parsteinsee,432,386.0,46.0,0.0,218.0,50.5,5,213.0,61.0,28.6,30,14.1,17,8,61,28.6,24,11.3,11,5.2,0,0,4,1.9,1,0.5,3,1.4,1,0.5,12060185,9.4,13,1.4,2,23,32,16.5,23,0,0,0,0,7.2,10,Parsteinsee,2,60811185,,,2.9,4,1.4,2,0,0,38.1,53,2,LT14,60811185,100,LT14,32.3394495412844,2,139,,,,,,141,436,both,19.200000000000003
Zweistimme,12061020,amtsfreie Gemeinde,Bestensee,6436,5140.0,1296.0,0.0,3987.0,61.9,37,3950.0,974.0,24.7,526,13.3,456,11.5,974,24.7,377,9.5,336,8.5,21,0.5,118,3,21,0.5,135,3.4,12,0.3,12061020,17.2,505,3.4,101,20,586,21.3,624,0.5,16,1,29,4.4,130,Bestensee,6,61020,,,3.6,105,1.2,36,0.3,8,27,790,6,LT14,61020,100,LT14,50.01682935038707,42,2930,,,,,,2972,5942,both,7.5
Zweistimme,12061112,amtsfreie Gemeinde,Eichwalde,5331,4112.0,1219.0,0.0,3788.0,71.1,29,3759.0,986.0,26.2,486,12.9,454,12.1,668,17.8,698,18.6,165,4.4,22,0.6,146,3.9,25,0.7,103,2.7,6,0.2,12061112,11.8,372,6.2,196,18.2,575,22.1,698,0.3,10,1.1,34,11.6,368,Eichwalde,6,61112,,,2.3,74,2,63,0.2,6,24.2,764,6,LT14,61112,100,LT14,59.461467038068704,42,3160,,,,,,3202,5385,both,6.0
Zweistimme,12061217,amtsfreie Gemeinde,Heidesee,6103,5096.0,1007.0,0.0,4340.0,71.1,83,4257.0,987.0,23.2,557,13.1,521,12.2,1034,24.3,428,10.1,415,9.7,22,0.5,136,3.2,22,0.5,126,3,9,0.2,12061217,14.7,464,3.8,119,20.6,651,17.9,565,0.6,18,1.2,37,5.6,176,Heidesee,13,61217,,,2.8,88,1.6,51,0.2,5,31.1,983,13,LT14,61217,100,LT14,54.112480999831114,47,3157,,,,,,3204,5921,both,9.600000000000001
Zweistimme,12061219,amtsfreie Gemeinde,Heideblick,3075,2762.0,313.0,0.0,2180.0,70.9,46,2134.0,620.0,29.1,328,15.4,154,7.2,635,29.8,142,6.7,79,3.7,16,0.7,95,4.5,11,0.5,51,2.4,3,0.1,12061219,10.7,177,2.4,39,25.2,418,12.7,211,0.1,1,2.8,47,3.7,62,Heideblick,15,61219,,,1.8,30,1.3,22,0.5,8,38.8,643,15,LT14,61219,100,LT14,52.56290773532153,34,1658,,,,,,1692,3219,both,19.1
Zweistimme,12061260,amtsfreie Gemeinde,"Königs Wusterhausen, Stadt",30257,25152.0,5105.0,0.0,18696.0,61.8,189,18507.0,5376.0,29,2451,13.2,2198,11.9,4050,21.9,2119,11.4,870,4.7,120,0.6,608,3.3,111,0.6,541,2.9,63,0.3,12061260,13.1,1856,2.8,397,20,2824,21.5,3043,0.5,72,1.7,243,5.5,774,"Königs Wusterhausen, Stadt",34,61260,,,2.4,337,1.7,235,0.2,22,30.6,4323,34,LT14,61260,100,LT14,49.229071091028246,146,14126,,,,,,14272,28991,both,8.799999999999999
Zweistimme,12061316,amtsfreie Gemeinde,"Lübben (Spreewald), Stadt",11941,9973.0,1968.0,0.0,7151.0,59.9,107,7044.0,1992.0,28.3,1143,16.2,578,8.2,1902,27,544,7.7,298,4.2,40,0.6,296,4.2,49,0.7,186,2.6,16,0.2,12061316,14,822,1.4,83,24.2,1415,14.6,852,0.2,10,1.7,102,3.7,216,"Lübben (Spreewald), Stadt",16,61316,,,2.6,153,1.2,70,0.4,24,36,2107,16,LT14,61316,100,LT14,49.66185188277532,94,5854,,,,,,5948,11977,both,13.0
Zweistimme,12061320,amtsfreie Gemeinde,"Luckau, Stadt",7965,6936.0,1029.0,0.0,5194.0,65.2,81,5113.0,1458.0,28.5,926,18.1,411,8,1368,26.8,341,6.7,178,3.5,37,0.7,215,4.2,32,0.6,140,2.7,7,0.1,12061320,10.3,434,1.4,59,26,1100,14.4,610,0.1,5,1.8,75,3.6,151,"Luckau, Stadt",26,61320,,,2.3,99,0.9,40,0.6,25,38.6,1630,26,LT14,61320,100,LT14,51.6330451488953,72,4228,,,,,,4300,8328,both,16.5
Zweistimme,12061329,amtsfreie Gemeinde,Märkische Heide,3437,3087.0,350.0,0.0,2391.0,69.6,29,2362.0,652.0,27.6,374,15.8,143,6.1,716,30.3,135,5.7,180,7.6,11,0.5,93,3.9,16,0.7,40,1.7,2,0.1,12061329,10.9,267,1.5,36,25,611,10.8,263,0.1,2,1.6,38,2.7,65,Märkische Heide,18,61329,,,3.6,88,1.1,26,0.4,9,42.5,1038,18,LT14,61329,100,LT14,71.30019657399606,96,2443,,,,,,2539,3561,both,19.4
Zweistimme,12061332,amtsfreie Gemeinde,"Mittenwalde, Stadt",7644,6699.0,945.0,0.0,4679.0,61.2,61,4618.0,1146.0,24.8,825,17.9,384,8.3,1246,27,448,9.7,201,4.4,21,0.5,177,3.8,21,0.5,139,3,10,0.2,12061332,14.5,509,2.7,95,29.8,1049,15.2,535,0.3,9,1.6,58,5.6,196,"Mittenwalde, Stadt",13,61332,,,2.1,75,1.4,51,0.1,5,26.7,939,13,LT14,61332,100,LT14,48.052122514777004,56,3521,,,,,,3577,7444,both,12.5
Zweistimme,12061433,amtsfreie Gemeinde,Schönefeld,11999,10099.0,1900.0,0.0,6645.0,55.4,148,6497.0,1488.0,22.9,1384,21.3,395,6.1,1442,22.2,764,11.8,424,6.5,59,0.9,283,4.4,44,0.7,196,3,18,0.3,12061433,13.7,555,2.6,105,31.3,1266,12.1,489,0.1,6,1.2,49,6.5,265,Schönefeld,12,61433,,,2.1,86,2.2,88,0.2,10,27.9,1128,12,LT14,61433,100,LT14,38.20842654735272,52,4047,,,,,,4099,10728,both,8.5
Zweistimme,12061444,amtsfreie Gemeinde,Schulzendorf,6903,5554.0,1349.0,0.0,4718.0,68.3,53,4665.0,1157.0,24.8,625,13.4,498,10.7,1047,22.4,614,13.2,308,6.6,45,1,186,4,29,0.6,142,3,14,0.3,12061444,14.7,536,9.4,341,18.5,673,19.1,694,0.3,10,0.8,29,7.7,282,Schulzendorf,6,61444,,,3.5,127,2.7,99,0.4,16,22.9,833,6,LT14,61444,100,LT14,56.59483417392634,63,3640,,,,,,3703,6543,both,7.699999999999999
